Provincia,Año,Trimestre,Accesos por cada 100 hogares,Variacion Trimestral
Buenos Aires,2014,1,54.57,
Buenos Aires,2014,2,55.06,0.8979292651640103
Buenos Aires,2014,3,56.75,3.0693788594260862
Buenos Aires,2014,4,56.09,-1.162995594713645
Buenos Aires,2015,1,56.37,0.4991977179532814
Buenos Aires,2015,2,56.8,0.7628171012950213
Buenos Aires,2015,3,57.69,1.566901408450705
Buenos Aires,2015,4,58.29,1.0400416016640657
Buenos Aires,2016,1,57.34,-1.6297821238634325
Buenos Aires,2016,2,59.34,3.4879665155214568
Buenos Aires,2016,3,60.14,1.3481631277384443
Buenos Aires,2016,4,61.24,1.8290655138011314
Buenos Aires,2017,1,58.57,-4.359895493141741
Buenos Aires,2017,2,56.27,-3.9269250469523564
Buenos Aires,2017,3,55.63,-1.1373733783543671
Buenos Aires,2017,4,57.61,3.559230630954513
Buenos Aires,2018,1,62.63,8.71376497135914
Buenos Aires,2018,2,62.78,0.23950183618073329
Buenos Aires,2018,3,64.44,2.6441541892322284
Buenos Aires,2018,4,64.6,0.24829298572315306
Buenos Aires,2019,1,66.24,2.5386996904024794
Buenos Aires,2019,2,67.85,2.430555555555558
Buenos Aires,2019,3,69.36,2.225497420781153
Buenos Aires,2019,4,64.25,-7.367358708189153
Buenos Aires,2020,1,64.33,0.1245136186770468
Buenos Aires,2020,2,65.22,1.3834913726099796
Buenos Aires,2020,3,67.66,3.7411836859858827
Buenos Aires,2020,4,68.98,1.9509311262193352
Buenos Aires,2021,1,69.11,0.1884604233110876
Buenos Aires,2021,2,70.0,1.2878020546954083
Buenos Aires,2021,3,71.68,2.400000000000002
Buenos Aires,2021,4,75.66,5.552455357142838
Buenos Aires,2022,1,76.08,0.5551149881046769
Capital Federal,2014,1,112.25,
Capital Federal,2014,2,113.14,0.7928730512249516
Capital Federal,2014,3,113.8,0.5833480643450573
Capital Federal,2014,4,114.9,0.9666080843585334
Capital Federal,2015,1,114.9,0.0
Capital Federal,2015,2,116.07,1.0182767624020705
Capital Federal,2015,3,118.29,1.9126389247867692
Capital Federal,2015,4,118.13,-0.13526079972948635
Capital Federal,2016,1,115.16,-2.514179293998142
Capital Federal,2016,2,120.04,4.237582493921499
Capital Federal,2016,3,120.77,0.6081306231256134
Capital Federal,2016,4,120.63,-0.11592282851701219
Capital Federal,2017,1,108.37,-10.163309292879042
Capital Federal,2017,2,124.06,14.478176617144968
Capital Federal,2017,3,121.86,-1.7733354828308956
Capital Federal,2017,4,122.9,0.8534383719021932
Capital Federal,2018,1,106.24,-13.555736371033367
Capital Federal,2018,2,106.53,0.2729668674698926
Capital Federal,2018,3,108.45,1.8023092086736137
Capital Federal,2018,4,108.27,-0.16597510373445035
Capital Federal,2019,1,109.2,0.8589637018564744
Capital Federal,2019,2,110.55,1.2362637362637319
Capital Federal,2019,3,112.65,1.8995929443690773
Capital Federal,2019,4,106.25,-5.681313803817134
