Provincia,Año,Trimestre,Accesos telefonía fija (total),Variacion Trimestral,'Accesos telefonía fija (total)'
Buenos Aires,2014,1,,,4385408
Buenos Aires,2014,2,-0.13741024780362654,-0.13741024780362654,4379382
Buenos Aires,2014,3,0.6023680966857903,0.6023680966857903,4405762
Buenos Aires,2014,4,1.3023172835936236,1.3023172835936236,4463139
Buenos Aires,2015,1,7.59234700061997,7.59234700061997,4801996
Buenos Aires,2015,2,-2.8329886155673556,-2.8329886155673556,4665956
Buenos Aires,2015,3,1.0110682569659968,1.0110682569659968,4713132
Buenos Aires,2015,4,0.01604028913257949,0.01604028913257949,4713888
Buenos Aires,2016,1,3.3656718191013457,3.3656718191013457,4872542
Buenos Aires,2016,2,0.8941123544958574,0.8941123544958574,4916108
Buenos Aires,2016,3,-2.764809072542751,-2.764809072542751,4780187
Buenos Aires,2016,4,2.1270297584592424,2.1270297584592424,4881863
Buenos Aires,2017,1,-0.19093120802448071,-0.19093120802448071,4872542
Buenos Aires,2017,2,0.8941123544958574,0.8941123544958574,4916108
Buenos Aires,2017,3,-2.764809072542751,-2.764809072542751,4780187
Buenos Aires,2017,4,2.1270297584592424,2.1270297584592424,4881863
Buenos Aires,2018,1,-9.096977936496787,-9.096977936496787,4437761
Buenos Aires,2018,2,0.9046453831109913,0.9046453831109913,4477907
Buenos Aires,2018,3,0.3301765757975694,0.3301765757975694,4492692
Buenos Aires,2018,4,1.4657804274141206,1.4657804274141206,4558545
Buenos Aires,2019,1,-21.83565150722434,-21.83565150722434,3563157
Buenos Aires,2019,2,-6.023647007415056,-6.023647007415056,3348525
Buenos Aires,2019,3,1.983171695000041,1.983171695000041,3414932
Buenos Aires,2019,4,-1.944606803297988,-1.944606803297988,3348525
Buenos Aires,2020,1,-2.6059533675274915,-2.6059533675274915,3261264
Buenos Aires,2020,2,-0.8833078217525436,-0.8833078217525436,3232457
Buenos Aires,2020,3,0.026821702500612332,0.026821702500612332,3233324
Buenos Aires,2020,4,-0.026814510392403346,-0.026814510392403346,3232457
Buenos Aires,2021,1,-0.8877457611965123,-0.8877457611965123,3203761
Buenos Aires,2021,2,3.4212602001210346,3.4212602001210346,3313370
