Provincia,Año,Trimestre,Accesos TV por suscripción,Variacion Trimestral
Buenos Aires,2014,1,2363240,
Buenos Aires,2014,2,2477696,4.843181395033946
Buenos Aires,2014,3,2479337,0.06623088546779954
Buenos Aires,2014,4,2492829,0.5441777378387913
Buenos Aires,2015,1,2502399,0.38390118215088087
Buenos Aires,2015,2,2522599,0.8072253865190948
Buenos Aires,2015,3,2505777,-0.6668519253357319
Buenos Aires,2015,4,2504956,-0.03276428828263844
Buenos Aires,2016,1,2503121,-0.07325477972467409
Buenos Aires,2016,2,2516810,0.546877278405633
Buenos Aires,2016,3,2521023,0.16739443978688318
Buenos Aires,2016,4,2535921,0.5909505783961544
Buenos Aires,2017,1,2572848,1.45615734875022
Buenos Aires,2017,2,2580455,0.2956645709346173
Buenos Aires,2017,3,2571840,-0.3338558510030176
Buenos Aires,2017,4,2656799,3.3034325619011984
Buenos Aires,2018,1,2654174,-0.09880310855281405
Buenos Aires,2018,2,2662857,0.3271450929743125
Buenos Aires,2018,3,2698193,1.3269957793452747
Buenos Aires,2018,4,2670842,-1.013678413664254
Buenos Aires,2019,1,2687325,0.6171462033321307
Buenos Aires,2019,2,2687146,-0.006660898849231156
Buenos Aires,2019,3,2737691,1.880991952056199
Buenos Aires,2019,4,2824205,3.160108281029528
Buenos Aires,2020,1,2955174,4.637375827887857
Buenos Aires,2020,2,2915498,-1.3425943785374428
Buenos Aires,2020,3,2952288,1.2618770446764183
Buenos Aires,2020,4,2973620,0.7225582328011404
Buenos Aires,2021,1,2924732,-1.644056738924271
Buenos Aires,2021,2,2933650,0.3049168265673474
Buenos Aires,2021,3,2976570,1.4630238781040639
Buenos Aires,2021,4,3002329,0.8653920452063923
Buenos Aires,2022,1,2975672,-0.8878773778623228
Buenos Aires,2022,2,2994210,0.6229853290282028
Capital Federal,2014,1,691440,
Capital Federal,2014,2,692311,0.12596899224806002
Capital Federal,2014,3,689381,-0.42322020017016015
Capital Federal,2014,4,690404,0.14839399403232534
Capital Federal,2015,1,690175,-0.033168985115961114
Capital Federal,2015,2,693278,0.44959611692687584
Capital Federal,2015,3,715814,3.250644041784101
Capital Federal,2015,4,716866,0.14696555250386378
Capital Federal,2016,1,720018,0.43969165785515685
Capital Federal,2016,2,717928,-0.29027052101475714
Capital Federal,2016,3,716755,-0.16338685773503725
Capital Federal,2016,4,712478,-0.596717148816539
Capital Federal,2017,1,708805,-0.5155246898851606
Capital Federal,2017,2,708949,0.020315883776222954
Capital Federal,2017,3,707800,-0.16207089649608042
Capital Federal,2017,4,740372,4.601864933597066
Capital Federal,2018,1,741516,0.15451691852204075
Capital Federal,2018,2,742742,0.16533695833940154
Capital Federal,2018,3,755552,1.7246904039356803
Capital Federal,2018,4,750996,-0.6030028376604157
Capital Federal,2019,1,789185,5.085113635758387
Capital Federal,2019,2,810521,2.7035485976038665
Capital Federal,2019,3,862488,6.411555036822003
Capital Federal,2019,4,896441,3.9366344807116205
Capital Federal,2020,1,741539,-17.27966480783454
Capital Federal,2020,2,738178,-0.4532465588458545
Capital Federal,2020,3,741443,0.44230524345076905
Capital Federal,2020,4,757638,2.184254217788828
Capital Federal,2021,1,740825,-2.2191336759771807
Capital Federal,2021,2,741498,0.09084466641919864
Capital Federal,2021,3,745558,0.5475402496028403
Capital Federal,2021,4,746094,0.07189246175347552
Capital Federal,2022,1,745263,-0.11138006739097595
Capital Federal,2022,2,745194,-0.00925847653781009
Catamarca,2014,1,18239,
Catamarca,2014,2,27382,50.12884478315698
Catamarca,2014,3,27544,0.5916295376524827
Catamarca,2014,4,28249,2.5595410978797473
Catamarca,2015,1,28098,-0.5345321958299398
Catamarca,2015,2,28518,1.4947683109117982
Catamarca,2015,3,29089,2.00224419664774
Catamarca,2015,4,29356,0.9178727353982508
Catamarca,2016,1,29207,-0.5075623381932126
Catamarca,2016,2,29641,1.4859451501352483
Catamarca,2016,3,29763,0.4115920515502136
Catamarca,2016,4,30124,1.212915364714573
Catamarca,2017,1,29655,-1.5568981542955829
Catamarca,2017,2,40448,36.39521160006745
Catamarca,2017,3,40773,0.8035007911392444
Catamarca,2017,4,29391,-27.91553233757633
Catamarca,2018,1,89005,202.8307985437719
Catamarca,2018,2,78493,-11.810572439750578
Catamarca,2018,3,83185,5.977603098365458
Catamarca,2018,4,33545,-59.674220111799
Catamarca,2019,1,33116,-1.2788791176032155
Catamarca,2019,2,33085,-0.09361033941297503
Catamarca,2019,3,40830,23.40940003022518
Catamarca,2019,4,41031,0.49228508449670194
Catamarca,2020,1,39338,-4.126148521849338
Catamarca,2020,2,40214,2.226854440998527
Catamarca,2020,3,40786,1.4223902123638554
Catamarca,2020,4,42098,3.216790075025755
Catamarca,2021,1,42761,1.5748966696755184
Catamarca,2021,2,42816,0.1286218750730761
Catamarca,2021,3,43542,1.6956278026905913
Catamarca,2021,4,44924,3.173946993707233
Catamarca,2022,1,47123,4.894933665746604
Catamarca,2022,2,52137,10.640239373554316
Chaco,2014,1,88112,
Chaco,2014,2,85726,-2.7079171962956283
Chaco,2014,3,85608,-0.13764785479317698
Chaco,2014,4,91003,6.3019811232595035
Chaco,2015,1,91617,0.6747030317681757
Chaco,2015,2,91438,-0.1953785869434732
Chaco,2015,3,92709,1.39001290491918
Chaco,2015,4,90819,-2.038637025531498
Chaco,2016,1,91403,0.6430372499146575
Chaco,2016,2,94320,3.1913613338730773
Chaco,2016,3,90191,-4.377650551314671
Chaco,2016,4,88363,-2.0268097703762034
Chaco,2017,1,87920,-0.5013410590405498
Chaco,2017,2,91455,4.0207006369426646
Chaco,2017,3,90293,-1.2705702257941098
Chaco,2017,4,101423,12.326536940848133
Chaco,2018,1,109742,8.20228153377438
Chaco,2018,2,108493,-1.1381239634779772
Chaco,2018,3,99165,-8.597789719152383
Chaco,2018,4,99927,0.7684162759038049
Chaco,2019,1,107090,7.168232809951269
Chaco,2019,2,108529,1.3437295732561472
Chaco,2019,3,111542,2.7762164951303347
Chaco,2019,4,114313,2.484266016388448
Chaco,2020,1,114564,0.21957257704723343
Chaco,2020,2,117601,2.650920009776203
Chaco,2020,3,119932,1.9821260023299203
Chaco,2020,4,118021,-1.5934029283260487
Chaco,2021,1,118321,0.2541920505672701
Chaco,2021,2,117259,-0.8975583370661178
Chaco,2021,3,115548,-1.4591630493181795
Chaco,2021,4,117381,1.5863537231280533
Chaco,2022,1,119743,2.0122507049692873
Chaco,2022,2,122109,1.9758983823689125
Chubut,2014,1,68671,
Chubut,2014,2,68578,-0.13542834675481785
Chubut,2014,3,68472,-0.1545685205167846
Chubut,2014,4,68381,-0.13290103984110457
Chubut,2015,1,68561,0.2632310144630834
Chubut,2015,2,68762,0.2931695862079087
Chubut,2015,3,68820,0.08434891364417219
Chubut,2015,4,68847,0.039232781168263564
Chubut,2016,1,68242,-0.8787601493166042
Chubut,2016,2,72833,6.727528501509328
Chubut,2016,3,72693,-0.19222055936183313
Chubut,2016,4,72721,0.03851815167896788
Chubut,2017,1,72838,0.16088887666561025
Chubut,2017,2,72663,-0.24025920535983847
Chubut,2017,3,70166,-3.4364119290422934
Chubut,2017,4,71048,1.2570190690647909
Chubut,2018,1,72825,2.501125999324394
Chubut,2018,2,74729,2.6144867833848284
Chubut,2018,3,89855,20.241137978562527
Chubut,2018,4,90602,0.8313393801123947
Chubut,2019,1,90677,0.0827796295887584
Chubut,2019,2,87680,-3.305138017358311
Chubut,2019,3,70308,-19.81295620437956
Chubut,2019,4,69894,-0.588837685611876
Chubut,2020,1,67422,-3.5367842733281862
Chubut,2020,2,64113,-4.90789356589837
Chubut,2020,3,65855,2.7170776597569946
Chubut,2020,4,73236,11.20795687495255
Chubut,2021,1,73129,-0.14610300944890575
Chubut,2021,2,73909,1.066608322279805
Chubut,2021,3,74721,1.098648337820829
Chubut,2021,4,76640,2.5682204467284864
Chubut,2022,1,77728,1.4196242171190088
Chubut,2022,2,79115,1.7844277480444592
Corrientes,2014,1,61056,
Corrientes,2014,2,88423,44.822785639413
Corrientes,2014,3,89802,1.5595489861235157
Corrientes,2014,4,91210,1.5678938108282692
Corrientes,2015,1,90410,-0.8770968095603515
Corrientes,2015,2,91645,1.3659993363565937
Corrientes,2015,3,92364,0.7845490752359741
Corrientes,2015,4,94401,2.2054047031310864
Corrientes,2016,1,92425,-2.0931981652736686
Corrientes,2016,2,92714,0.31268596159048645
Corrientes,2016,3,92783,0.07442241732640298
Corrientes,2016,4,93490,0.7619930375176498
Corrientes,2017,1,93332,-0.16900203230292288
Corrientes,2017,2,93029,-0.3246474949642142
Corrientes,2017,3,93730,0.7535284696170041
Corrientes,2017,4,105842,12.922223407660294
Corrientes,2018,1,105865,0.021730503958727887
Corrientes,2018,2,100369,-5.191517498701181
Corrientes,2018,3,101211,0.8389044426067915
Corrientes,2018,4,102243,1.0196520141091403
Corrientes,2019,1,101354,-0.8694971782909344
Corrientes,2019,2,108390,6.942005248929495
Corrientes,2019,3,109035,0.5950733462496638
Corrientes,2019,4,109763,0.6676755170358151
Corrientes,2020,1,110100,0.3070251359747811
Corrientes,2020,2,111516,1.2861035422343292
Corrientes,2020,3,114038,2.261558879443304
Corrientes,2020,4,111852,-1.9169048913520004
Corrientes,2021,1,113093,1.109501841719407
Corrientes,2021,2,112659,-0.3837549627297876
Corrientes,2021,3,115700,2.6992961059480347
Corrientes,2021,4,116488,0.6810717372515152
Corrientes,2022,1,131173,12.606448732916697
Corrientes,2022,2,132406,0.939980026377385
Córdoba,2014,1,511023,
Córdoba,2014,2,974174,90.63212419010496
Córdoba,2014,3,975850,0.17204318735666302
Córdoba,2014,4,976250,0.04098990623560006
Córdoba,2015,1,974705,-0.15825864276568513
Córdoba,2015,2,979028,0.4435188082547947
Córdoba,2015,3,986247,0.7373639977610535
Córdoba,2015,4,994334,0.8199771456846028
Córdoba,2016,1,998906,0.45980525658380067
Córdoba,2016,2,1005624,0.6725357541150112
Córdoba,2016,3,1011257,0.560149717986036
Córdoba,2016,4,1009280,-0.19549926477641089
Córdoba,2017,1,1022544,1.3142041851617048
Córdoba,2017,2,1019606,-0.287322599320905
Córdoba,2017,3,1024289,0.45929506103337125
Córdoba,2017,4,1040718,1.6039418562534546
Córdoba,2018,1,1104478,6.1265395621100005
Córdoba,2018,2,1114481,0.9056767088162943
Córdoba,2018,3,1077148,-3.349810360158678
Córdoba,2018,4,1056763,-1.892497595502196
Córdoba,2019,1,1057252,0.0462733839091678
Córdoba,2019,2,1063751,0.6147068059459748
Córdoba,2019,3,1104134,3.7962831527302843
Córdoba,2019,4,1113585,0.8559649462837049
Córdoba,2020,1,1062830,-4.557802053727378
Córdoba,2020,2,1098162,3.3243322074085313
Córdoba,2020,3,1093908,-0.38737454036835706
Córdoba,2020,4,1073026,-1.9089356691787573
Córdoba,2021,1,1085427,1.1557035896613943
Córdoba,2021,2,1072980,-1.1467376433422105
Córdoba,2021,3,1105454,3.0265242595388653
Córdoba,2021,4,1118579,1.1872949937310917
Córdoba,2022,1,1124246,0.5066249232284825
Córdoba,2022,2,1141123,1.5011839045902864
Entre Ríos,2014,1,109137,
Entre Ríos,2014,2,148123,35.7220740903635
Entre Ríos,2014,3,150597,1.6702335221403741
Entre Ríos,2014,4,151868,0.8439743155574053
Entre Ríos,2015,1,151985,0.07704058787894041
Entre Ríos,2015,2,153882,1.2481494884363675
Entre Ríos,2015,3,153615,-0.1735095722696589
Entre Ríos,2015,4,154461,0.5507274680206953
Entre Ríos,2016,1,154253,-0.13466182402029903
Entre Ríos,2016,2,155110,0.5555807666625556
Entre Ríos,2016,3,155482,0.23982979820771355
Entre Ríos,2016,4,155923,0.2836341184188518
Entre Ríos,2017,1,160444,2.899508090531855
Entre Ríos,2017,2,162496,1.278950911221366
Entre Ríos,2017,3,165363,1.7643511224891606
Entre Ríos,2017,4,209564,26.72967955346721
Entre Ríos,2018,1,210310,0.35597717165161136
Entre Ríos,2018,2,211237,0.44077789929151123
Entre Ríos,2018,3,206993,-2.009117720853826
Entre Ríos,2018,4,208263,0.6135473180252538
Entre Ríos,2019,1,210247,0.9526416118081471
Entre Ríos,2019,2,211624,0.6549439468815255
Entre Ríos,2019,3,216331,2.2242278758553002
Entre Ríos,2019,4,220415,1.8878477888051082
Entre Ríos,2020,1,220527,0.05081323866342746
Entre Ríos,2020,2,218562,-0.8910473547456776
Entre Ríos,2020,3,235140,7.585033079858339
Entre Ríos,2020,4,216322,-8.0028918941907
Entre Ríos,2021,1,221612,2.44542857407013
Entre Ríos,2021,2,222673,0.4787646878327889
Entre Ríos,2021,3,243917,9.540447202849013
Entre Ríos,2021,4,229305,-5.990562363426899
